ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,DIRECCION,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,UBICACION,USO,MODELO,fecha_instalacion_converted,direccion_tipo_de_via,direccion_nombre,direccion_numero,apto_consumo_humano
9295144,"Fuentes de beber",136,NUMANCIA,13,"PUENTE DE VALLECAS",OPERATIVO,444.852.165,4.472.330.336,ETRS89,4.039.975.496,-364.986.729,"CALLE RAMON PEREZ DE AYALA, 15",28038,"PROXIMO A FAROLA 25, EN ZONA MERCADILLO DE FONTARRON",31024347,"2023-08-18 00:00:00.0",FUE_13_0181,FUE22,VP,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-08-18,CALLE,"RAMON PEREZ DE AYALA",15,Sí
9296045,"Fuentes de beber",107,AGUILAS,10,LATINA,OPERATIVO,435.267.340,4.470.757.437,ETRS89,4.038.489.575,-376.264.711,"AVENIDA LAS AGUILAS, 1 B",28044,"MERCADILLO DE LATINA, JUNTO FAROLA 21",31054966,"2023-08-22 00:00:00.0",FUE_10_0135,FUE22,VP,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-08-22,AVENIDA,"LAS AGUILAS","1 B",Sí
9310059,"Fuentes de beber",11,PALACIO,1,CENTRO,OPERATIVO,439.221.559,4.473.935.229,ETRS89,4.041.382.065,-371.636.747,"CALLE SEGOVIA, 39",28005,"DENTRO DEL ÁREA CANINA",31033462,"2023-09-19 00:00:00.0",FUE_01_0117,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-09-19,CALLE,SEGOVIA,39,Sí
9310077,"Fuentes de beber",205,ROSAS,20,"SAN BLAS - CANILLEJAS",OPERATIVO,449.092.579,4.475.677.318,ETRS89,4.043.017.681,-360.016.840,"CALLE ESTOCOLMO, 26 K",28022,"C/V C/ MANCHESTER, JUNTO AVC",20128514,"2023-07-27 00:00:00.0",FUE_20_0137,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA NEPTUNO",2023-07-27,CALLE,ESTOCOLMO,"26 K",Sí
9127172,"Fuentes de beber",113,"SAN ISIDRO",11,CARABANCHEL,OPERATIVO,438.094.850,4.472.184.910,ETRS89,4.039.796.997,-372.947.620,"PASEO ERMITA DEL SANTO, 76",28019,"JUNTO AREA CANINA PARQUE DE SAN ISIDRO,  PROXIMO A ESTANQUE CENTRAL",20047749,"2022-12-19 00:00:00.0",FUE_11_0144,FUE22,ZV,MASCOTAS,"BEBEDERO NEPTUNO",2022-12-19,PASEO,"ERMITA DEL SANTO",76,No
9179667,"Fuentes de beber",174,"LOS ROSALES",17,VILLAVERDE,OPERATIVO,441.630.330,4.466.670.840,ETRS89,4.034.855.140,-368.731.295,"CALLE EDUARDO MINGUITO, 57",28021,"FRENTE Nº 57, PROXIMO A AREA INFANTIL EN PARQUE",11127642,"2023-02-22 00:00:00.0",FUE_17_0138,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-02-22,CALLE,"EDUARDO MINGUITO",57,Sí
9199241,"Fuentes de beber",171,"VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE",17,VILLAVERDE,CERRADA_TEMPORALMENT,440.401.060,4.465.009.190,ETRS89,4.033.349.535,-370.163.170,"CALLE SAN EUSTAQUIO, 26",28021,"C/V C/ LAGUNA DEL MARQUESADO. JUNTO FAROLA 5, DENTRO DE AREA CANINA",31022973,"2023-03-27 00:00:00.0",FUE_17_0139,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-03-27,CALLE,"SAN EUSTAQUIO",26,Sí
9272894,"Fuentes de beber",154,"LA CONCEPCIÓN",15,"CIUDAD LINEAL",OPERATIVO,444467.88,4476220.43,ETRS89,4.043.477.358,-365.473.509,"CALLE VIRGEN DE LLUC, 1",28027,"PARQUE CALERO, JUNTO ÁREA CANINA",31050701,"2023-06-20 00:00:00.0",FUE_15_0138,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA NEPTUNO",2023-06-20,CALLE,"VIRGEN DE LLUC",1,Sí
9284711,"Fuentes de beber",127,PRADOLONGO,12,USERA,OPERATIVO,439567.43,4469931.68,ETRS89,4.037.777.992,-371.191.118,"AVENIDA RAFAELA YBARRA, 75",28026,"FRENTE C/ PARQUE DE LA PALOMA Y FAROLA 134, JUNTO WC PÚBLICO",11085784,"2023-07-10 00:00:00.0",FUE_12_0087,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-07-10,AVENIDA,"RAFAELA YBARRA",75,Sí
9289989,"Fuentes de beber",122,ORCASUR,12,USERA,OPERATIVO,440.591.233,4.469.156.167,ETRS89,4.037.086.729,-369.977.910,"AVENIDA POBLADOS, 154",28041,"C/V AVDA. ORCASUR, PROXIMO A PASARELA PEATONAL",31007189,"2023-07-28 00:00:00.0",FUE_12_0088,FUE22,VP,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-07-28,AVENIDA,POBLADOS,154,Sí
9291850,"Fuentes de beber",84,PILAR,8,"FUENCARRAL - EL PARDO",CERRADA_TEMPORALMENT,439.309.391,4.481.014.472,ETRS89,4.047.759.973,-371.600.874,"AVENIDA MONFORTE DE LEMOS, 180",28035,"ZONA CANINA",20095370,"2023-08-04 00:00:00.0",FUE_08_0190,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-08-04,AVENIDA,"MONFORTE DE LEMOS",180,Sí
9295075,"Fuentes de beber",134,"PALOMERAS SURESTE",13,"PUENTE DE VALLECAS",OPERATIVO,445.324.938,4.470.361.079,ETRS89,4.038.204.584,-364.412.738,"CALLE ARAGONESES, 4",28018,"C/V C/ ANGELILLO, PROXIMO A FAROLA 1",31017835,"2023-08-04 00:00:00.0",FUE_13_0180,FUE22,VP,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-08-04,CALLE,ARAGONESES,4,Sí
9310078,"Fuentes de beber",205,ROSAS,20,"SAN BLAS - CANILLEJAS",OPERATIVO,449.069.215,4.474.903.348,ETRS89,4.042.320.297,-360.038.184,"CALLE SOFIA, 12",28022,"FRENTE Pº GINEBRA, PRÓXIMO A FAROLA 57",31065177,"2023-07-27 00:00:00.0",FUE_20_0138,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA NEPTUNO",2023-07-27,CALLE,SOFIA,12,Sí
9349565,"Fuentes de beber",85,"LA PAZ",8,"FUENCARRAL - EL PARDO",OPERATIVO,440.867.977,4.481.815.533,ETRS89,4.048.492.844,-369.769.705,"CALLE SANTIAGO DE COMPOSTELA, 10",28034,"bulevar AVDA. DE LA ILUSTRACIÓN",11045892,"2023-12-14 00:00:00.0",FUE_08_0191,FUE22,ZV,MASCOTAS,"BEBEDERO NEPTUNO",2023-12-14,CALLE,"SANTIAGO DE COMPOSTELA",10,No
